ScoreFMM_FID,CovCount,PointCount,ScoresWin,hwLenKM,Scores,VenueCnt,VALUE,YEAR
1259,12,4,0.062191,1.004969,0.062191,3,0.3962,265
1260,12,1,0.000954,1.024123,0.000954,1,0.3962,265
1261,12,4,0.041202,1.516918,0.041202,1,0.3962,265
1263,12,6,0.372438,2.685012,0.372438,2,0.0538,25
1264,12,1,0.000737,1.324194,0.000737,1,0.0538,25
1265,12,1,0.000919,1.062667,0.000919,1,0.4962,202
1266,12,4,0.065498,0.95423,0.065498,0,1.2288,104
1267,12,6,0.927412,1.078269,0.927412,4,5.6538,467
1271,12,1,0.000553,1.76459,0.000553,1,2.1173,2977
1272,12,1,0.00077,1.267818,0.00077,1,1.1731,170
1276,12,3,0.017239,0.906399,0.017239,4,0.025,51
1277,12,3,0.034436,0.453735,0.034436,0,0.025,51
1278,12,2,0.002431,1.606717,0.002431,2,4.2385,405
1280,12,10,16.82,2.287094,111.93245,5,4.2385,405
1281,12,2,0.002632,1.483918,0.002632,2,0.0442,77
1282,12,1,0.000801,1.219115,0.000801,1,0.0442,77
1283,12,2,0.004321,0.904071,0.004321,1,0.3769,167
1284,12,1,0.002019,0.483677,0.002019,1,0.3769,167
1285,12,1,0.000731,1.336311,0.000731,1,0.1,15
1286,12,2,0.015354,0.254409,0.015354,0,0.4923,158
1287,12,6,0.420616,2.377468,0.420615,3,0.0865,168
