scorepam_fid,covcount,pointcount,scoreswin,hwlenkm,scores,venuecnt,userdayspa,dayspafina,sum_length,days_pa_km
375,11,1,0.000959,2.03719,0.000959,2,120.393725,120.393725,2.03719,59.097938
376,10,1,0.000967,4.040233,0.000967,1,0.070883,0.070883,4.040233,0.017544
377,10,3,0.046405,1.346824,0.046405,9,90.211846,90.211846,1.346824,66.981145
378,10,3,0.040432,1.545793,0.040432,5,76.259329,76.259329,1.545793,49.33347
379,10,1,0.004422,0.883288,0.004422,1,15.87615,15.87615,0.883288,17.973931
380,10,2,0.012761,1.224461,0.012761,1,0.142606,0.142606,1.224461,0.116464
381,11,1,0.020846,0.093694,0.020846,0,0,0,0,0
382,11,1,0.000753,2.59291,0.000753,2,49.371774,49.371774,2.59291,19.041066
383,10,1,0.006831,0.571839,0.006831,1,0.945263,0.945263,0.571839,1.653024
384,9,1,0.007264,1.075526,0.007264,1,6.103381,7.872406,1.075526,7.319584
385,10,1,0.005078,0.769215,0.005078,2,0,0,0,0
386,10,3,0.141103,0.44294,0.141103,0,0,0,0,0
387,11,1,0.001241,1.574263,0.001241,1,45.427636,45.427636,1.574263,28.856452
388,10,6,1.847905,2.164613,1.847906,2,4.608702,4.608702,2.164613,2.129112
389,9,4,0.392311,1.274498,0.392311,3,3.328047,3.328047,1.274498,2.611262
390,9,4,0.410889,1.216875,0.410889,2,4.225909,4.225909,1.216875,3.472755
391,10,3,0.037908,1.648708,0.037908,0,3.679985,4.125254,1.648708,2.502113
392,11,1,0.000875,2.232593,0.000875,1,0,0,0,0
393,11,1,0.001067,1.830197,0.001067,1,80.938611,80.938611,1.830197,44.223994
394,10,1,0.0005,7.815889,0.0005,2,4.320205,4.320205,7.815889,0.552746
395,10,1,0.003232,1.208708,0.003232,1,0,0,0,0
396,10,1,0.003433,1.137715,0.003433,1,0.873249,0.873249,1.137715,0.767546
397,11,1,0.001007,1.93942,0.001007,1,48.012053,48.012053,1.93942,24.755886
398,10,2,0.008344,1.872647,0.008344,0,0,0,0,0
399,10,1,0.00426,0.916889,0.00426,2,6.673248,6.673248,0.916889,7.278143
400,10,5,1.954526,0.511633,1.954525,3,0.248236,0.248236,0.511633,0.485183
401,11,1,0.002233,0.874713,0.002233,0,2.9187,3.75,0.874713,4.287122
402,10,1,0.003607,1.083032,0.003607,1,0.0767,0.143083,1.192001,0.120036
403,10,1,0.006351,0.615026,0.006351,1,0.191461,0.481917,0.615026,0.783572
404,10,4,0.13261,1.88523,0.13261,6,3.869863,3.869863,1.88523,2.052727
405,10,1,0.003157,1.237297,0.003157,1,0.04313,0.04313,1.237297,0.034858
406,10,1,0.005432,0.719064,0.005432,0,0.238811,0.254957,0.719064,0.354568
407,10,7,10.928133,1.464111,10.928132,4,0.355657,0.355657,1.464111,0.242917
408,10,2,0.009431,1.656706,0.009431,3,8.640411,8.640411,1.656706,5.215417
409,10,1,0.001925,2.028966,0.001925,1,1.281495,1.281495,2.028966,0.6316
410,10,3,0.044828,1.394203,0.044828,6,10.695205,10.695205,1.394203,7.671195
411,10,1,0.005138,0.760294,0.005138,1,1.155822,1.155822,0.760294,1.52023
412,10,1,0.010497,0.372121,0.010497,1,2.507088,2.507088,0.372121,6.73729
413,10,1,0.001732,2.254855,0.001732,1,10.610174,10.610174,2.254855,4.705479
414,10,1,0.00207,1.886644,0.00207,0,5.085662,5.085662,1.886644,2.695612
415,10,1,0.003403,1.148025,0.003403,1,0,0,0,0
416,10,1,0.004296,0.909381,0.004296,1,0,0,0,0
417,10,4,0.158358,1.578703,0.158358,4,7.427691,7.427691,1.578703,4.704933
418,10,2,0.009869,1.583197,0.009869,4,7.466145,7.466145,1.583197,4.715865
419,10,1,0.00281,1.390357,0.00281,1,1.155822,1.155822,1.390357,0.831313
420,10,3,0.05861,1.066365,0.05861,3,2.469653,2.469653,1.066365,2.315954
